Date,gold_price
2026-03-26,400.64
2026-03-25,416.29
2026-03-24,404.13
2026-03-23,404.04
2026-03-20,413.38
2026-03-19,426.41
2026-03-18,444.74
2026-03-17,459.27
2026-03-16,460.43
2026-03-13,460.84
2026-03-12,466.88
2026-03-11,476.24
2026-03-10,477.86
2026-03-09,472.53
2026-03-06,473.51
2026-03-05,466.13
2026-03-04,471.8
2026-03-03,468.14
2026-03-02,490.0
2026-02-27,483.75
2026-02-26,477.48
2026-02-25,473.42
2026-02-24,474.61
2026-02-23,481.28
2026-02-20,468.62
2026-02-19,459.56
2026-02-18,458.28
2026-02-17,448.2
2026-02-13,462.62
2026-02-12,451.39
2026-02-11,467.63
2026-02-10,462.4
2026-02-09,467.03
2026-02-06,455.46
2026-02-05,441.88
2026-02-04,453.97
2026-02-03,454.29
2026-02-02,427.13
2026-01-30,444.95
2026-01-29,495.9
2026-01-28,494.56
2026-01-27,476.1
2026-01-26,464.7
2026-01-23,458.0
2026-01-22,451.79
2026-01-21,443.6
2026-01-20,437.23
2026-01-16,421.29
2026-01-15,423.33
2026-01-14,425.94
2026-01-13,421.63
2026-01-12,422.23
2026-01-09,414.47
2026-01-08,411.49
2026-01-07,409.23
2026-01-06,413.18
2026-01-05,408.76
2026-01-02,398.28
2025-12-31,396.31
2025-12-30,398.89
2025-12-29,398.6
2025-12-26,416.74
2025-12-24,411.93
2025-12-23,413.64
2025-12-22,408.23
2025-12-19,399.02
2025-12-18,398.57
2025-12-17,399.29
2025-12-16,395.89
2025-12-15,395.8
2025-12-12,395.44
2025-12-11,393.24
2025-12-10,389.05
2025-12-09,387.4
2025-12-08,385.42
2025-12-05,386.44
2025-12-04,387.13
2025-12-03,386.88
2025-12-02,387.24
2025-12-01,389.75
2025-11-28,387.88
2025-11-26,383.12
2025-11-25,380.08
2025-11-24,380.2
2025-11-21,374.27
2025-11-20,374.85
2025-11-19,374.96
2025-11-18,374.35
2025-11-17,371.65
2025-11-14,375.96
2025-11-13,382.87
2025-11-12,385.99
2025-11-11,379.87
2025-11-10,378.38
2025-11-07,368.31
2025-11-06,366.07
2025-11-05,366.51
2025-11-04,362.32
2025-11-03,368.78
2025-10-31,368.12
2025-10-30,370.13
2025-10-29,363.0
2025-10-28,364.38
2025-10-27,367.01
2025-10-24,377.52
2025-10-23,378.79
2025-10-22,377.28
2025-10-21,377.24
2025-10-20,403.15
2025-10-17,388.99
2025-10-16,396.45
2025-10-15,387.39
2025-10-14,380.79
2025-10-13,378.09
2025-10-10,369.12
2025-10-09,365.43
2025-10-08,372.3
2025-10-07,366.26
2025-10-06,364.38
2025-10-03,357.64
2025-10-02,354.79
2025-10-01,356.03
2025-09-30,355.47
2025-09-29,352.46
2025-09-26,346.74
2025-09-25,344.75
2025-09-24,343.32
2025-09-23,346.46
2025-09-22,345.05
2025-09-19,339.18
2025-09-18,335.62
2025-09-17,336.97
2025-09-16,339.59
2025-09-15,338.91
2025-09-12,335.42
2025-09-11,334.76
2025-09-10,335.26
2025-09-09,334.06
2025-09-08,334.82
2025-09-05,331.05
2025-09-04,326.69
2025-09-03,328.14
2025-09-02,325.59
2025-08-29,318.07
2025-08-28,315.03
2025-08-27,312.71
2025-08-26,312.08
2025-08-25,309.83
2025-08-22,310.58
2025-08-21,307.29
2025-08-20,308.36
2025-08-19,305.27
2025-08-18,306.95
2025-08-15,307.43
2025-08-14,307.25
2025-08-13,309.21
2025-08-12,308.27
2025-08-11,308.55
2025-08-08,313.05
2025-08-07,313.12
2025-08-06,310.5
2025-08-05,311.16
2025-08-04,310.91
2025-08-01,309.11
2025-07-31,302.96
2025-07-30,300.96
2025-07-29,306.25
2025-07-28,305.41
2025-07-25,307.4
2025-07-24,310.27
2025-07-23,312.18
2025-07-22,316.1
2025-07-21,313.13
2025-07-18,308.39
2025-07-17,307.59
2025-07-16,308.26
2025-07-15,306.73
2025-07-14,308.01
2025-07-11,309.14
2025-07-10,306.2
2025-07-09,305.52
2025-07-08,304.16
2025-07-07,307.37
2025-07-03,307.14
2025-07-02,309.25
2025-07-01,307.55
2025-06-30,304.83
2025-06-27,301.22
2025-06-26,306.78
2025-06-25,307.12
